year,team_name,fielding,runs_allowed_game,defensive_efficiency
2024,Arizona Diamondbacks,50,4.86,0.682
2024,Atlanta Braves,54,3.75,0.689
2024,Baltimore Orioles,58,4.31,0.704
2024,Boston Red Sox,57,4.61,0.693
2024,Chicago Cubs,56,4.13,0.705
2024,Chicago White Sox,63,5.02,0.685
2024,Cincinnati Reds,59,4.28,0.702
2024,Cleveland Guardians,50,3.86,0.709
2024,Colorado Rockies,54,5.73,0.671
2024,Detroit Tigers,48,3.96,0.709
2024,Houston Astros,55,4.03,0.704
2024,Kansas City Royals,50,3.98,0.696
2024,Los Angeles Angels,64,4.92,0.704
2024,Los Angeles Dodgers,59,4.23,0.71
2024,Miami Marlins,70,5.19,0.681
2024,Milwaukee Brewers,56,3.96,0.709
2024,Minnesota Twins,52,4.54,0.695
2024,New York Mets,57,4.3,0.704
2024,New York Yankees,52,4.12,0.703
2024,Oakland Athletics,55,4.72,0.691
2024,Philadelphia Phillies,47,4.14,0.692
2024,Pittsburgh Pirates,56,4.56,0.687
2024,San Diego Padres,49,4.13,0.697
2024,Seattle Mariners,50,3.75,0.724
2024,San Francisco Giants,57,4.31,0.683
2024,St. Louis Cardinals,44,4.44,0.696
2024,Tampa Bay Rays,54,4.09,0.706
2024,Texas Rangers,56,4.56,0.702
2024,Toronto Blue Jays,55,4.59,0.705
2024,Washington Nationals,48,4.72,0.676
2024,League Average,48,4.39,0.697
2023,Arizona Diamondbacks,53,4.7,0.695
2023,Atlanta Braves,51,4.42,0.685
2023,Baltimore Orioles,50,4.19,0.696
2023,Boston Red Sox,56,4.79,0.677
2023,Chicago Cubs,48,4.46,0.694
2023,Chicago White Sox,56,5.19,0.685
2023,Cincinnati Reds,65,5.07,0.685
2023,Cleveland Guardians,50,4.3,0.698
2023,Colorado Rockies,57,5.91,0.67
2023,Detroit Tigers,50,4.57,0.699
2023,Houston Astros,41,4.31,0.697
2023,Kansas City Royals,58,5.3,0.685
2023,Los Angeles Angels,66,5.12,0.682
2023,Los Angeles Dodgers,58,4.31,0.709
2023,Miami Marlins,52,4.46,0.683
2023,Milwaukee Brewers,58,3.99,0.719
2023,Minnesota Twins,47,4.07,0.697
2023,New York Mets,58,4.5,0.689
2023,New York Yankees,54,4.31,0.704
2023,Oakland Athletics,62,5.7,0.678
2023,Philadelphia Phillies,44,4.41,0.695
2023,Pittsburgh Pirates,58,4.88,0.686
2023,San Diego Padres,55,4,0.702
2023,Seattle Mariners,55,4.07,0.7
2023,San Francisco Giants,51,4.44,0.679
2023,St. Louis Cardinals,52,5.12,0.67
2023,Tampa Bay Rays,58,4.1,0.703
2023,Texas Rangers,48,4.42,0.703
2023,Toronto Blue Jays,46,4.14,0.693
2023,Washington Nationals,48,5.22,0.682
2023,League Average,48,4.62,0.691
2022,Arizona Diamondbacks,57,4.57,0.704
2022,Atlanta Braves,53,3.76,0.701
2022,Baltimore Orioles,57,4.25,0.69
