year,team_name,est_payroll
2024,Arizona Diamondbacks,"$161,660,152"
2024,Atlanta Braves,"$241,662,300"
2024,Baltimore Orioles,"$117,347,715"
2024,Boston Red Sox,"$160,834,775"
2024,Chicago Cubs,"$223,048,500"
2024,Chicago White Sox,"$137,170,125"
2024,Cincinnati Reds,"$98,323,334"
2024,Cleveland Guardians,"$94,230,728"
2024,Colorado Rockies,"$147,069,963"
2024,Detroit Tigers,"$105,584,833"
2024,Houston Astros,"$275,678,766"
2024,Kansas City Royals,"$113,442,261"
2024,Los Angeles Angels,"$165,637,050"
2024,Los Angeles Dodgers,"$262,386,278"
2024,Miami Marlins,"$109,992,600"
2024,Milwaukee Brewers,"$115,142,460"
2024,Minnesota Twins,"$135,262,591"
2024,New York Mets,"$262,702,250"
2024,New York Yankees,"$291,463,084"
2024,Oakland Athletics,"$55,690,000"
2024,Philadelphia Phillies,"$248,632,283"
2024,Pittsburgh Pirates,"$97,476,500"
2024,San Diego Padres,"$159,391,555"
2024,Seattle Mariners,"$142,547,548"
2024,San Francisco Giants,"$232,370,883"
2024,St. Louis Cardinals,"$189,534,400"
2024,Tampa Bay Rays,"$128,533,112"
2024,Texas Rangers,"$261,471,834"
2024,Toronto Blue Jays,"$225,628,287"
2024,Washington Nationals,"$132,086,867"
2024,Leage Average,"$169,733,434"
2023,Arizona Diamondbacks,"$115,247,571"
2023,Atlanta Braves,"$194,197,500"
2023,Baltimore Orioles,"$82,758,114"
2023,Boston Red Sox,"$181,282,500"
2023,Chicago Cubs,"$162,918,250"
2023,Chicago White Sox,"$140,725,951"
2023,Cincinnati Reds,"$77,877,833"
2023,Cleveland Guardians,"$70,114,729"
2023,Colorado Rockies,"$155,645,682"
2023,Detroit Tigers,"$119,236,836"
2023,Houston Astros,"$240,388,766"
2023,Kansas City Royals,"$88,186,975"
2023,Los Angeles Angels,"$218,537,055"
2023,Los Angeles Dodgers,"$227,091,667"
2023,Miami Marlins,"$114,351,500"
2023,Milwaukee Brewers,"$138,288,760"
2023,Minnesota Twins,"$137,798,640"
2023,New York Mets,"$208,427,344"
2023,New York Yankees,"$259,417,008"
2023,Oakland Athletics,"$51,230,000"
2023,Philadelphia Phillies,"$241,362,606"
2023,Pittsburgh Pirates,"$72,407,500"
2023,San Diego Padres,"$236,200,139"
2023,Seattle Mariners,"$128,155,663"
2023,San Francisco Giants,"$177,920,416"
2023,St. Louis Cardinals,"$174,086,450"
2023,Tampa Bay Rays,"$75,441,212"
2023,Texas Rangers,"$248,537,867"
2023,Toronto Blue Jays,"$211,190,269"
2023,Washington Nationals,"$99,211,578"
2023,Leage Average,"$154,941,213"
2022,Arizona Diamondbacks,"$78,860,000"
2022,Atlanta Braves,"$181,075,000"
2022,Baltimore Orioles,"$48,000,000"
2022,Boston Red Sox,"$188,420,000"
2022,Chicago Cubs,"$131,085,000"
2022,Chicago White Sox,"$167,458,334"
2022,Cincinnati Reds,"$111,882,381"
2022,Cleveland Guardians,"$65,960,000"
2022,Colorado Rockies,"$112,605,000"
2022,Detroit Tigers,"$117,740,000"
2022,Houston Astros,"$164,789,600"
2022,Kansas City Royals,"$87,410,000"
2022,Los Angeles Angels,"$167,063,095"
2022,Los Angeles Dodgers,"$261,180,131"
2022,Miami Marlins,"$68,200,000"
2022,Milwaukee Brewers,"$128,421,127"
2022,Minnesota Twins,"$110,792,857"
2022,New York Mets,"$240,473,333"
2022,New York Yankees,"$238,950,714"
2022,Oakland Athletics,"$50,248,334"
2022,Philadelphia Phillies,"$209,488,461"
2022,Pittsburgh Pirates,"$37,925,000"
2022,San Diego Padres,"$192,600,824"
2022,Seattle Mariners,"$78,285,000"
2022,San Francisco Giants,"$147,929,667"
2022,St. Louis Cardinals,"$156,814,666"
2022,Tampa Bay Rays,"$73,004,211"
2022,Texas Rangers,"$120,176,667"
2022,Toronto Blue Jays,"$172,705,857"
2022,Washington Nationals,"$125,051,666"
2022,Leage Average,"$134,486,564"
2021,Arizona Diamondbacks,"$77,691,667"
2021,Atlanta Braves,"$127,230,000"
2021,Baltimore Orioles,"$42,075,000"
2021,Boston Red Sox,"$156,095,000"
2021,Chicago Cubs,"$144,413,500"
2021,Chicago White Sox,"$115,546,333"
2021,Cincinnati Reds,"$116,784,881"
2021,Cleveland Indians,"$50,425,500"
2021,Colorado Rockies,"$92,675,000"
2021,Detroit Tigers,"$78,590,500"
2021,Houston Astros,"$190,400,000"
2021,Kansas City Royals,"$86,820,000"
2021,Los Angeles Angels,"$188,408,595"
2021,Los Angeles Dodgers,"$248,108,334"
2021,Miami Marlins,"$33,150,000"
2021,Milwaukee Brewers,"$85,517,626"
2021,Minnesota Twins,"$120,158,333"
2021,New York Mets,"$184,675,167"
2021,New York Yankees,"$209,799,047"
2021,Oakland Athletics,"$94,555,834"
2021,Philadelphia Phillies,"$185,286,962"
2021,Pittsburgh Pirates,"$50,255,000"
2021,San Diego Padres,"$154,984,286"
2021,Seattle Mariners,"$64,605,500"
2021,San Francisco Giants,"$150,863,778"
2021,St. Louis Cardinals,"$155,329,667"
2021,Tampa Bay Rays,"$52,937,166"
2021,Texas Rangers,"$67,890,999"
2021,Toronto Blue Jays,"$121,694,071"
